condition,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,repeat
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,24
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,24
shuffled_group,group_calibrated_hybrid,10,0.17343007171588562,0.15138212208425522,0.1,25
shuffled_group,group_oracle_rate,10,0.13996377766579693,0.18484841613434394,0.1,25
shuffled_group,group_mean,10,0.1268128972996166,0.19799929650052422,0.0,25
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,25
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,25
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,25
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,25
shuffled_group,group_oracle_rate,10,0.1519671172142222,0.17284507658591866,0.0,26
shuffled_group,group_mean,10,0.13898017438626206,0.18583201941387878,0.0,26
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,26
shuffled_group,group_calibrated_hybrid,10,0.10203642257450578,0.22277577122563508,0.0,26
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,26
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,26
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,26
shuffled_group,group_oracle_rate,10,0.21612006394109193,0.10869212985904893,0.3,27
shuffled_group,group_calibrated_hybrid,10,0.2065116391380189,0.11830055466212197,0.3,27
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,27
shuffled_group,group_mean,10,0.1115245796224952,0.21328761417764563,0.0,27
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,27
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,27
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,27
shuffled_group,group_mean,10,0.1539755297458954,0.17083666405424544,0.1,28
shuffled_group,group_oracle_rate,10,0.151499474246748,0.17331271955339284,0.0,28
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,28
shuffled_group,group_calibrated_hybrid,10,0.0854160827370153,0.23939611106312553,0.0,28
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,28
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,28
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,28
shuffled_group,group_mean,10,0.12364152089184,0.20117067290830085,0.0,29
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,29
shuffled_group,group_calibrated_hybrid,10,0.10273752522643172,0.22207466857370917,0.0,29
shuffled_group,group_oracle_rate,10,0.08053030094951374,0.24428189285062712,0.0,29
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,29
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,29
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,29
shuffled_group,group_calibrated_hybrid,10,0.19586636729291354,0.1289458265072273,0.1,30
shuffled_group,group_mean,10,0.12722303938639054,0.1975891544137503,0.1,30
shuffled_group,group_oracle_rate,10,0.2239282222187383,0.10088397158140257,0.0,30
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,30
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,30
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,30
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,30
shuffled_group,group_mean,10,0.16110896705620759,0.16370322674393328,0.2,31
shuffled_group,group_calibrated_hybrid,10,0.11573402454761858,0.20907816925252226,0.1,31
shuffled_group,group_oracle_rate,10,0.1460862292931565,0.17872596450698436,0.0,31
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,31
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,31
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,31
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,31
shuffled_group,group_mean,10,0.18622079862523366,0.1385913951749072,0.2,32
shuffled_group,group_calibrated_hybrid,10,0.1291995262969209,0.19561266750321993,0.1,32
shuffled_group,group_oracle_rate,10,0.1544384158688179,0.17037377793132294,0.0,32
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,32
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,32
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,32
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,32
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,33
shuffled_group,group_calibrated_hybrid,10,0.09788739542265472,0.2269247983774861,0.0,33
shuffled_group,group_oracle_rate,10,0.08731561957271863,0.2374965742274222,0.0,33
shuffled_group,group_mean,10,0.0842180800898914,0.24059411371024947,0.0,33
shuffled_group,contact,10,0.06173876313387633,0.26307343066626454,0.0,33
shuffled_group,compact,10,0.059527780539453824,0.265284413260687,0.0,33
shuffled_group,hybrid,10,0.05887758503040684,0.265934608769734,0.0,33
shuffled_group,group_oracle_rate,10,0.1531585010668963,0.17165369273324455,0.0,34
shuffled_group,low_clash,10,0.11617554469036458,0.20863664910977628,0.0,34
shuffled_group,group_mean,10,0.11413690907579102,0.21067528472434982,0.0,34
