condition,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5
mask_oracle_group,R1108,group_calibrated_hybrid,casp15_R1108TS232_4,TS232,0.3262421322933785,casp15_R1108TS128_5,TS128,casp15_R1108TS128_3,TS128,0.2310399906933972,0.0952021415999813,False
mask_oracle_group,R1116,hybrid,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS177_1,TS177,casp15_R1116TS238_2,TS238,0.0529940161235115,0.02782416981939491,False
mask_oracle_group,R1116,compact,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS177_1,TS177,casp15_R1116TS245_5,TS245,0.0216792294631136,0.05913895647979281,False
mask_oracle_group,R1116,low_clash,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS029_1,TS029,casp15_R1116TS029_1,TS029,0.0387984310738092,0.0420197548690972,False
mask_oracle_group,R1116,contact,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS177_1,TS177,casp15_R1116TS238_2,TS238,0.0529940161235115,0.02782416981939491,False
mask_oracle_group,R1116,group_mean,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS232_1,TS232,casp15_R1116TS232_5,TS232,0.0405792014197123,0.040238984523194105,False
mask_oracle_group,R1116,group_oracle_rate,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS232_2,TS232,casp15_R1116TS232_5,TS232,0.0405792014197123,0.040238984523194105,False
mask_oracle_group,R1116,group_calibrated_hybrid,casp15_R1116TS285_5,TS285,0.0808181859429064,casp15_R1116TS232_1,TS232,casp15_R1116TS232_5,TS232,0.0405792014197123,0.040238984523194105,False
mask_oracle_group,R1117,hybrid,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS235_3,TS235,casp15_R1117TS238_2,TS238,0.099779745658967,0.26802828852516924,False
mask_oracle_group,R1117,compact,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS235_3,TS235,casp15_R1117TS235_1,TS235,0.1033781773707882,0.264429856813348,False
mask_oracle_group,R1117,low_clash,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS029_1,TS029,casp15_R1117TS287_2,TS287,0.3261707138156676,0.04163732036846862,False
mask_oracle_group,R1117,contact,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS235_3,TS235,casp15_R1117TS238_2,TS238,0.099779745658967,0.26802828852516924,False
mask_oracle_group,R1117,group_mean,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS287_5,TS287,casp15_R1117TS287_1,TS287,0.3428503545872265,0.0249576795969097,False
mask_oracle_group,R1117,group_oracle_rate,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS128_2,TS128,casp15_R1117TS128_1,TS128,0.3122236040249385,0.05558443015919773,False
mask_oracle_group,R1117,group_calibrated_hybrid,casp15_R1117TS232_1,TS232,0.3678080341841362,casp15_R1117TS128_4,TS128,casp15_R1117TS128_1,TS128,0.3122236040249385,0.05558443015919773,False
mask_oracle_group,R1126,hybrid,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS238_3,TS238,casp15_R1126TS470_5,TS470,0.0342285133130794,0.3351032397779319,False
mask_oracle_group,R1126,compact,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS238_3,TS238,casp15_R1126TS470_5,TS470,0.0342285133130794,0.3351032397779319,False
mask_oracle_group,R1126,low_clash,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS029_1,TS029,casp15_R1126TS287_2,TS287,0.2112664927068006,0.1580652603842107,False
mask_oracle_group,R1126,contact,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS238_3,TS238,casp15_R1126TS238_1,TS238,0.0467002928571716,0.3226314602338397,False
mask_oracle_group,R1126,group_mean,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS287_5,TS287,casp15_R1126TS287_2,TS287,0.2112664927068006,0.1580652603842107,False
mask_oracle_group,R1126,group_oracle_rate,casp15_R1126TS232_4,TS232,0.3693317530910113,casp15_R1126TS128_1,TS128,casp15_R1126TS128_1,TS128,0.0396124349330228,0.3297193181579885,False
