heldout_oracle_group,model,feature,importance
TS232,invariant_rf,contact_order,0.02285401063899676
TS232,invariant_rf,short_contact_fraction,0.02795921326345818
TS232,invariant_rf,medium_contact_fraction,0.023579919527489078
TS232,invariant_rf,long_contact_fraction,0.004868495134000508
TS232,invariant_rf,near_distance_fraction,0.0018811267719275001
TS232,invariant_rf,distance_p10,0.029101734505977358
TS232,invariant_rf,distance_p25,0.02831713164255603
TS232,invariant_rf,distance_p50,0.0032466829036416
TS232,invariant_rf,distance_p75,0.007332867472971011
TS232,invariant_rf,distance_p90,0.04404637700189394
TS232,invariant_rf,local_step_mean,0.003554139145260156
TS232,invariant_rf,local_step_std,0.014248167359724123
TS232,invariant_rf,local_step_max,0.009307079089895578
TS232,invariant_rf,turn_angle_mean,0.016653631276230308
TS232,invariant_rf,turn_angle_std,0.013775066299112482
TS232,invariant_rf,helix_like_local_fraction,0.00019052045801060862
TS232,invariant_rf,target_z_radius_of_gyration,0.024215460108670143
TS232,invariant_rf,target_z_end_to_end_distance,0.017166459406317416
TS232,invariant_rf,target_z_contact_density,0.005158138202599169
TS232,invariant_rf,target_z_long_range_contact_density,0.004179767734043254
TS232,invariant_rf,target_z_compactness,0.010700483769390173
TS232,invariant_rf,target_z_contact_degree_mean,0.011996917166040478
TS232,invariant_rf,target_z_contact_degree_std,0.010547199019416132
TS232,invariant_rf,target_z_contact_degree_max,0.002994417399305712
TS232,invariant_rf,target_z_contact_degree_gini,0.023578138541055803
TS232,invariant_rf,target_z_contact_order,0.019189348749924885
TS232,invariant_rf,target_z_distance_p50,0.011837133725767902
TS232,invariant_rf,target_z_local_step_mean,0.003348621813471645
TS232,invariant_rf,target_z_turn_angle_mean,0.01317362045820802
TS285,invariant_gbr,num_residues,0.0
TS285,invariant_gbr,radius_of_gyration,0.0026827461592871618
TS285,invariant_gbr,end_to_end_distance,0.01043885558500426
TS285,invariant_gbr,contact_density,0.0
TS285,invariant_gbr,long_range_contact_density,0.0
TS285,invariant_gbr,clashes_per_residue,0.0
TS285,invariant_gbr,backbone_break_fraction,0.0
TS285,invariant_gbr,compactness,0.002306913574304873
TS285,invariant_gbr,score_contact,0.0
TS285,invariant_gbr,score_low_clash,0.0
TS285,invariant_gbr,score_compact,0.002269467130140579
TS285,invariant_gbr,score_hybrid,0.0
TS285,invariant_gbr,contact_degree_mean,0.010256624408116347
TS285,invariant_gbr,contact_degree_std,0.0009800429347467604
TS285,invariant_gbr,contact_degree_max,0.009607309330409191
TS285,invariant_gbr,contact_degree_gini,0.2448082779775453
TS285,invariant_gbr,contact_components,0.012352782368615327
TS285,invariant_gbr,largest_contact_component_fraction,0.015039059075512918
TS285,invariant_gbr,contact_edge_span_mean,0.004786326263453167
TS285,invariant_gbr,contact_edge_span_std,0.008236858160443871
